證券代碼,年月,每股盈餘,ROE(A)－稅後,ROA(A)稅後息前,負債比率,營業毛利率,營業利益率,稅前淨利率,稅後淨利率
1568 倉佑,201303,0.14,1.22,0.73,56.89,12.87,2.9,4.05,2.32
1582 信錦,201303,0.91,2.89,1.78,38.1,22.55,10.66,10.77,6.67
1583 程泰,201303,1.13,3.53,1.73,54.05,26.64,8.83,14.56,11.65
1589 永冠-KY,201303,0.84,1.45,1.16,32.05,25.29,11.52,9.62,7.23
1590 亞德客-KY,201303,1.75,4.5,2.6,44.2,53.61,25.92,25.49,18.2
1597 直得,201303,0.18,0.72,0.51,48.87,27.17,-0.63,7.31,5.62
1603 華電,201303,0.04,0.25,0.2,36.69,11.9,4.77,2.95,2.43
1604 聲寶,201303,0.23,1.65,1.02,38.95,20.44,1.16,4.35,4.35
1605 華新,201303,0.02,0.3,0.26,44.27,3.09,-0.33,1.03,0.55
1608 華榮,201303,0.5,2.55,1.83,28.1,1.24,-0.85,8.79,8.91
1609 大亞,201303,0.06,0.34,0.29,51.19,5.29,0.6,0.94,0.64
1611 中電,201303,0.2,1.24,0.87,37.89,18.06,4.12,8.96,7.21
1612 宏泰,201303,0.07,0.42,0.37,14.2,2.16,-2.96,2.02,2.04
1614 三洋電,201303,0.06,0.35,0.27,23.92,16.07,0.21,1.96,1.68
1615 大山,201303,0.07,0.57,0.4,39.88,4.58,1.18,1.26,1.04
1616 億泰,201303,0.31,3.36,1.88,48.59,2.46,-4.02,8.39,8.45
1617 榮星,201303,0.12,1.1,0.64,55.6,5.71,-0.47,1.94,1.84
1618 合機,201303,0.02,0.08,0.08,9.92,5.08,0.09,0.81,0.67
1626 艾美特-KY,201303,2.35,9.54,3.94,56.77,19.27,2.93,9.4,8.78
1702 南僑,201303,0.6,3.64,1.43,64.37,31.8,8.03,7.61,5.08
1707 葡萄王,201303,1.33,8.23,5.86,27.98,87.47,20.39,22.72,19.01
1708 東鹼,201303,0.99,4.13,2.35,44.48,21.55,9.11,18.89,15.86
1709 和益,201303,0.26,1.89,1.3,35.37,10.3,4.46,4.8,3.88
1710 東聯,201303,0.26,1.39,1.06,25.98,14.86,11.12,7.69,6.48
1711 永光,201303,0.19,1.06,0.76,35.88,21.99,5.36,4.9,3.65
1712 興農,201303,0.43,2.98,1.24,63.24,24.23,4.32,5.18,3.71
1713 國化,201303,0.08,0.54,0.5,7.7,15.24,6.95,8.62,7.28
1714 和桐,201303,0.13,0.59,0.39,60.28,5.23,1.33,1.13,0.79
1717 長興,201303,0.27,1.43,0.81,53.67,16.29,3.92,4.63,3.32
1718 中纖,201303,0.6,3.27,0.29,91.86,28.39,12.44,17.74,16.18
1720 生達,201303,0.7,3.71,2.34,37.56,44.28,15.67,18.48,15.23
1721 三晃,201303,0.05,0.6,0.48,54.65,8.83,-1.03,1.11,1.11
1722 台肥,201303,2.31,4.38,3.37,22.87,30.74,24.06,42.77,38.27
1723 中碳,201303,2.29,7.84,6.74,14.55,31.65,27.44,29.78,25.52
1725 元禎,201303,0.1,0.9,0.49,52,3.42,1.1,1,0.81
1726 永記,201303,2.02,4.6,3.78,17.32,26.06,14.3,18.69,15.49
1727 中華化,201303,0.25,1.81,1.21,35.18,15.19,5.92,5.36,4.41
1730 花仙子,201303,0.43,2.86,1.83,35.64,45.08,7.19,8.33,6.46
1731 美吾華,201303,0.17,1.34,0.94,32.32,25.55,3.06,3.75,3.87
1732 毛寶,201303,0.04,0.33,0.25,24.53,39.68,1.39,1.6,0.98
1733 五鼎,201303,1.28,6.13,4.52,26.77,32.79,22.75,27.67,24.03
1734 杏輝,201303,0.81,5.2,3.32,35.52,34.92,-2.91,34.82,32.28
1735 日勝化,201303,0.11,0.02,0.22,59.69,9.64,0.28,0.64,0.02
1736 喬山,201303,0.41,1.35,0.74,54.36,44.67,1.37,3.17,2.42
1737 臺鹽,201303,0.15,0.65,0.61,5.6,34.69,4.62,9.01,7.49
1752 南光,201303,0.03,0.16,0.18,46.53,29.62,0.79,0.93,0.76
1762 中化生,201303,0.54,2.4,1.45,42.07,37.52,14.01,17.01,14.01
1773 勝一,201303,1.03,4.02,3.05,23.11,16.36,8.26,10.37,8.74
1783 和康生,201303,-0.04,-0.4,-0.25,16.52,42.79,-7.15,-3.58,-3.92
1786 科妍,201303,0.18,1.71,1.49,12.27,53.93,10.06,16.35,16.35
1789 神隆,201303,0.54,3.78,3.29,14.28,55.23,32.76,34.35,29.53
1795 美時,201303,0.52,4.57,2.81,39.94,67.99,20.57,18.7,18.45
1802 台玻,201303,-0.4,-2.12,-1.01,46.08,5.61,-8.99,-13.35,-13.54
1805 寶徠,201303,-0.23,-3.98,-0.47,83.75,29.16,-40.07,-43.31,-43.72
1806 冠軍,201303,-0.22,-1.31,-0.53,42.72,27.88,-4.65,-7.16,-7.62
1808 潤隆,201303,0.08,0.44,0.2,73.9,62.86,3.62,12.87,12.87
1809 中釉,201303,-0.04,-0.6,-0.38,27.54,13.11,-3.75,-2.75,-3.54
1810 和成,201303,0.05,0.33,0.32,50.05,24.74,-2.67,1.81,1.45
1817 凱撒衛,201303,0.52,3.3,2.55,22.34,30.13,11.86,12.55,9.53
1903 士紙,201303,-0.17,-1.15,-0.59,45.54,4.14,-8.95,-8.69,-8.69
1904 正隆,201303,0.32,1.62,0.85,61.15,17.93,5.14,4.59,3.48
1905 華紙,201303,-0.08,-0.52,-0.34,30.27,4.85,-2.49,-2.11,-2.1
1906 寶隆,201303,-0.07,-0.64,-0.32,35.81,14.65,-0.9,-7.92,-7.92
1907 永豐餘,201303,0.07,0.39,0.32,53.46,15.26,1.47,2.1,1.26
1909 榮成,201303,0.28,1.62,0.85,68.77,15.87,7.15,5.39,4.1
2002 中鋼,201303,0.25,1.59,0.86,51.75,10.27,6.68,6.42,5.51
2006 東和鋼鐵,201303,0.51,2.27,1.33,43.87,10.07,5.97,6.66,5.66
